Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2024,24,DEN,NFL,QB,17,17,10-7-0,376,567,66.3,3775,29,5.1,12,2.1,170,43.7,93,6.7,6.73,10.0,222.1,93.3,53.5,24,198,4.06,6.05,6.12,3,3,13,AP ORoY-3
2025,25,DEN,NFL,QB,8,8,6-2-0,179,285,62.8,1803,15,5.3,5,1.8,93,44.7,52,6.3,6.59,10.1,225.4,91.0,58.7,8,50,2.73,5.98,6.24,3,3,,
